ORGAN_CODE,TOP_CODE,VAL
5690000,5690000,CCA
6110000,6110000,MPA
6260000,6260000,YNA
6270000,6270000,YNA
6280000,6280000,MPA
6290000,6290000,HNA
6300000,6300000,CCA
6310000,6310000,YNA
6500000,6500000,JJA
3000000,6110000,MPA
3010000,6110000,MPA
3020000,6110000,MPA
3030000,6110000,MPA
3040000,6110000,MPA
3050000,6110000,MPA
3060000,6110000,MPA
3070000,6110000,MPA
3080000,6110000,MPA
3090000,6110000,MPA
3100000,6110000,MPA
3110000,6110000,MPA
3120000,6110000,MPA
3130000,6110000,MPA
3140000,6110000,MPA
3150000,6110000,MPA
3160000,6110000,MPA
3170000,6110000,MPA
3180000,6110000,MPA
3190000,6110000,MPA
3200000,6110000,MPA
3210000,6110000,MPA
3220000,6110000,MPA
3230000,6110000,MPA
3240000,6110000,MPA
3250000,6260000,YNA
3260000,6260000,YNA
3270000,6260000,YNA
3280000,6260000,YNA
3290000,6260000,YNA
3300000,6260000,YNA
3310000,6260000,YNA
3320000,6260000,YNA
3330000,6260000,YNA
3340000,6260000,YNA
3350000,6260000,YNA
3360000,6260000,YNA
3370000,6260000,YNA
3380000,6260000,YNA
3390000,6260000,YNA
3400000,6260000,YNA
3410000,6270000,YNA
3420000,6270000,YNA
3430000,6270000,YNA
3440000,6270000,YNA
3450000,6270000,YNA
3460000,6270000,YNA
3470000,6270000,YNA
3480000,6270000,YNA
3490000,6280000,MPA
3500000,6280000,MPA
3510500,6280000,MPA
3520000,6280000,MPA
3530000,6280000,MPA
3540000,6280000,MPA
3550000,6280000,MPA
3560000,6280000,MPA
3570000,6280000,MPA
3580000,6280000,MPA
3590000,6290000,HNA
3600000,6290000,HNA
3610000,6290000,HNA
3620000,6290000,HNA
3630000,6290000,HNA
3640000,6300000,CCA
3650000,6300000,CCA
3660000,6300000,CCA
3670000,6300000,CCA
3680000,6300000,CCA
3690000,6310000,YNA
3700000,6310000,YNA
3710000,6310000,YNA
3720000,6310000,YNA
3730000,6310000,YNA
3740000,6410000,MPA
3780000,6410000,MPA
3820000,6410000,MPA
3830000,6410000,MPA
3860000,6410000,MPA
3900000,6410000,MPA
3910000,6410000,MPA
3920000,6410000,MPA
3930000,6410000,MPA
3940000,6410000,MPA
3970000,6410000,MPA
3980000,6410000,MPA
3990000,6410000,MPA
4000000,6410000,MPA
4010000,6410000,MPA
4020000,6410000,MPA
4030000,6410000,MPA
4040000,6410000,MPA
4050000,6410000,MPA
4060000,6410000,MPA
4070000,6410000,MPA
4080000,6410000,MPA
4090000,6410000,MPA
4140000,6410000,MPA
4160000,6410000,MPA
4170000,6410000,MPA
4180000,6420000,GWA
4190000,6420000,GWA
4200000,6420000,GWA
4210000,6420000,GWA
4220000,6420000,GWA
4230000,6420000,GWA
4240000,6420000,GWA
4250000,6420000,GWA
4260000,6420000,GWA
4270000,6420000,GWA
4280000,6420000,GWA
4290000,6420000,GWA
4300000,6420000,GWA
4310000,6420000,GWA
4320000,6420000,GWA
4330000,6420000,GWA
4340000,6420000,GWA
4350000,6420000,GWA
4390000,6430000,CCA
4400000,6430000,CCA
4420000,6430000,CCA
4430000,6430000,CCA
4440000,6430000,CCA
4450000,6430000,CCA
4460000,6430000,CCA
4470000,6430000,CCA
4480000,6430000,CCA
4490000,6440000,CCA
4500000,6440000,CCA
4510000,6440000,CCA
4520000,6440000,CCA
4530000,6440000,CCA
4540000,6440000,CCA
4550000,6440000,CCA
4570000,6440000,CCA
4580000,6440000,CCA
4590000,6440000,CCA
4600000,6440000,CCA
4610000,6440000,CCA
4620000,6440000,CCA
4640000,6450000,HNA
4670000,6450000,HNA
4680000,6450000,HNA
4690000,6450000,HNA
4700000,6450000,HNA
4710000,6450000,HNA
4720000,6450000,HNA
4730000,6450000,HNA
4740000,6450000,HNA
4750000,6450000,HNA
4760000,6450000,HNA
4770000,6450000,HNA
4780000,6450000,HNA
4790000,6450000,HNA
4800000,6460000,HNA
4810000,6460000,HNA
4820000,6460000,HNA
4830000,6460000,HNA
4840000,6460000,HNA
4850000,6460000,HNA
4860000,6460000,HNA
4870000,6460000,HNA
4880000,6460000,HNA
4890000,6460000,HNA
4900000,6460000,HNA
4910000,6460000,HNA
4920000,6460000,HNA
4930000,6460000,HNA
4940000,6460000,HNA
4950000,6460000,HNA
4960000,6460000,HNA
4970000,6460000,HNA
4980000,6460000,HNA
4990000,6460000,HNA
5000000,6460000,HNA
5010000,6460000,HNA
5020000,6470000,YNA
5050000,6470000,YNA
5060000,6470000,YNA
5070000,6470000,YNA
5080000,6470000,YNA
5090000,6470000,YNA
5100000,6470000,YNA
5110000,6470000,YNA
5120000,6470000,YNA
5130000,6470000,YNA
5140000,6470000,YNA
5150000,6470000,YNA
5160000,6470000,YNA
5170000,6470000,YNA
5180000,6470000,YNA
5190000,6470000,YNA
5200000,6470000,YNA
5210000,6470000,YNA
5220000,6470000,YNA
5230000,6470000,YNA
5240000,6470000,YNA
5250000,6470000,YNA
5260000,6470000,YNA
5310000,6480000,YNA
5330000,6480000,YNA
5340000,6480000,YNA
5350000,6480000,YNA
5360000,6480000,YNA
5370000,6480000,YNA
5380000,6480000,YNA
5390000,6480000,YNA
5400000,6480000,YNA
5410000,6480000,YNA
5420000,6480000,YNA
5430000,6480000,YNA
5440000,6480000,YNA
5450000,6480000,YNA
5460000,6480000,YNA
5470000,6480000,YNA
5480000,6480000,YNA
5530000,6410000,MPA
5540000,6410000,MPA
5570000,6430000,CCA
5580000,6440000,CCA
5590000,6410000,MPA
5600000,6410000,MPA
5670000,6480000,YNA
5680000,6440000,CCA
5700000,6410000,MPA
5710000,6430000,CCA
