ORGAN_CODE,ARTIFICIAL_YN,VAL
3250000,N,0
3260000,N,6.3
3270000,N,0
3280000,N,16.83
3310000,N,12.79
3330000,N,8.23
3340000,N,51.14
3360000,N,71.35
3380000,N,1.33
3400000,N,35.58
3490000,N,53.06
3500000,N,0
3520000,N,0
3530000,N,0.4
3560000,N,6.61
3570000,N,110.63
3580000,N,478.41
3700000,N,5.34
3710000,N,14.02
3720000,N,11.73
3730000,N,20.78
3910000,N,0
3930000,N,46.7
4010000,N,0.87
4090000,N,7.83
5530000,N,23.06
4200000,N,50.34
4210000,N,14.93
4230000,N,10.45
4240000,N,91.75
4340000,N,83.99
4350000,N,47.51
4510000,N,198.75
4520000,N,0
4530000,N,74.17
5680000,N,34.55
4580000,N,49.65
4600000,N,7.98
4620000,N,389.84
4670000,N,181.54
4710000,N,24.05
4780000,N,0
4790000,N,123.06
4800000,N,35.65
4810000,N,708.53
4820000,N,6.49
4840000,N,5.47
4880000,N,507.84
4890000,N,47.05
4910000,N,38.43
4920000,N,25.24
4930000,N,191.13
4940000,N,3.34
4950000,N,136.44
4960000,N,7.24
4970000,N,154.3
4990000,N,712.74
5000000,N,578.03
5010000,N,1502.11
5020000,N,101.84
5050000,N,28.31
5180000,N,69.03
5250000,N,76.64
5260000,N,66.55
5670000,N,129.31
5330000,N,530.33
5340000,N,107.73
5370000,N,312.97
5420000,N,97.92
5430000,N,215.1
5440000,N,37.15
6510000,N,191.99
6520000,N,156.66
3250000,Y,5.88
3260000,Y,10.5
3270000,Y,7.52
3280000,Y,25.01
3310000,Y,21.77
3330000,Y,9.02
3340000,Y,33.47
3360000,Y,56.16
3380000,Y,5.89
3400000,Y,30.03
3490000,Y,94.81
3500000,Y,9.87
3520000,Y,39.82
3530000,Y,5.31
3560000,Y,20.89
3570000,Y,159.75
3580000,Y,97.64
3700000,Y,27.71
3710000,Y,31.17
3720000,Y,6.37
3730000,Y,33.11
3910000,Y,53.66
3930000,Y,46
4010000,Y,22.45
4090000,Y,21.45
5530000,Y,46
4200000,Y,27.36
4210000,Y,27.57
4230000,Y,19.75
4240000,Y,32.57
4340000,Y,18.24
4350000,Y,14.39
4510000,Y,76.49
4520000,Y,7.63
4530000,Y,71.93
5680000,Y,68.29
4580000,Y,60.77
4600000,Y,17.11
4620000,Y,156.43
4670000,Y,96.82
4710000,Y,57.94
4780000,Y,10.88
4790000,Y,54.95
4800000,Y,47.09
4810000,Y,314.26
4820000,Y,32.93
4840000,Y,68.8
4880000,Y,243.82
4890000,Y,60.04
4910000,Y,71.95
4920000,Y,53.02
4930000,Y,133.42
4940000,Y,20.44
4950000,Y,96.23
4960000,Y,17.33
4970000,Y,99.61
4990000,Y,353.07
5000000,Y,142.3
5010000,Y,458.61
5020000,Y,112.69
5050000,Y,20.57
5180000,Y,29.19
5250000,Y,44.59
5260000,Y,18.3
5670000,Y,183.77
5330000,Y,245.83
5340000,Y,97
5370000,Y,200.67
5420000,Y,118.3
5430000,Y,159.97
5440000,Y,41.85
6510000,Y,142.57
6520000,Y,80.7
